Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m,opponents
punda,JiJieHao,1.04,214.9,1.03,152.1,0.68,0.76,0.35,0.08,0.09,149.0,https://www.vlr.gg/player/3294/punda?timespan=90d,0.92,0.7,
prettyMy,Unicorn Cyber Da Nang,0.842,175.714,0.671,116.966,0.659,0.575,0.401,0.0,0.089,35.0,https://www.vlr.gg/player/49567/prettymy?timespan=90d,0.65,0.65,
シガレット,APAY Academy,1.098,218.128,1.121,146.76,0.597,0.725,0.342,0.064,0.06,47.0,https://www.vlr.gg/player/49541/?timespan=90d,0.65,0.65,
mezoky,EXO Clan,0.945,193.348,0.97,125.242,0.677,0.632,0.361,0.115,0.078,112.0,https://www.vlr.gg/player/9943/mezoky?timespan=90d,0.92,0.788,
vaLi,Coalesce,0.546,90.0,0.287,66.311,0.58,0.212,0.602,0.0,0.106,38.0,https://www.vlr.gg/player/18478/vali?timespan=90d,0.94,0.912,
t1tan,Wygers,0.905,203.333,0.886,128.553,0.731,0.712,0.199,0.221,0.07,45.0,https://www.vlr.gg/player/48953/t1tan?timespan=90d,0.92,0.84,
BujaXD,Wygers,1.06,232.0,1.03,147.0,0.71,0.82,0.4,0.13,0.09,45.0,https://www.vlr.gg/player/48956/bujaxd?timespan=90d,0.92,0.84,
Shane,Tempest Gaming,0.802,157.036,0.768,98.401,0.743,0.55,0.427,0.027,0.061,179.0,https://www.vlr.gg/player/6446/shane?timespan=90d,0.912,0.916,
JCL,ZOL Esports,0.835,154.604,0.709,95.5,0.78,0.498,0.706,0.027,0.067,72.0,https://www.vlr.gg/player/42331/jcl?timespan=90d,0.92,0.73,
SPARTA,Exsto Gaming,0.867,166.202,0.84,123.255,0.707,0.566,0.278,0.082,0.111,62.0,https://www.vlr.gg/player/49677/sparta?timespan=90d,0.65,0.65,
nackey,UT Dallas,0.834,160.817,0.82,104.804,0.702,0.577,0.268,0.046,0.15,115.0,https://www.vlr.gg/player/42146/nackey?timespan=90d,0.65,0.65,
ezzy,MiBH,0.694,144.447,0.637,93.53,0.575,0.508,0.219,0.043,0.1,73.0,https://www.vlr.gg/player/7485/ezzy?timespan=90d,1.0,0.99,
vibhoRR,MiBH,0.84,187.3,0.7,123.1,0.62,0.58,0.32,0.05,0.04,73.0,https://www.vlr.gg/player/3268/vibhorr?timespan=90d,0.985,0.951,
Excali,MiBH,0.713,152.363,0.592,99.347,0.631,0.48,0.342,0.085,0.135,73.0,https://www.vlr.gg/player/3271/excali?timespan=90d,1.0,0.991,
weber,Team Heretics,0.67,75.0,0.44,51.5,0.79,0.29,0.38,0.0,0.08,24.0,https://www.vlr.gg/player/2038/weber?timespan=90d,0.65,0.65,
Pukytoo,Lotus Knights,1.01,187.0,0.91,119.3,0.77,0.67,0.23,0.09,0.05,43.0,https://www.vlr.gg/player/31553/pukytoo?timespan=90d,0.92,0.84,
