name,team,url,url_90d
Kohliii,Level 5,https://www.vlr.gg/player/10758/kohliii?timespan=all,https://www.vlr.gg/player/10758/kohliii?timespan=all/?timespan=90d
Paradox,Level 5,https://www.vlr.gg/player/10463/paradox?timespan=all,https://www.vlr.gg/player/10463/paradox?timespan=all/?timespan=90d
Russ,Level 5,https://www.vlr.gg/player/1162/russ?timespan=all,https://www.vlr.gg/player/1162/russ?timespan=all/?timespan=90d
LuoK1ng,Trace Esports,https://www.vlr.gg/player/3045/luok1ng?timespan=all,https://www.vlr.gg/player/3045/luok1ng?timespan=all/?timespan=90d
Kai,Trace Esports,https://www.vlr.gg/player/37494/kai?timespan=all,https://www.vlr.gg/player/37494/kai?timespan=all/?timespan=90d
FengF,Trace Esports,https://www.vlr.gg/player/4770/fengf?timespan=all,https://www.vlr.gg/player/4770/fengf?timespan=all/?timespan=90d
heybay,Trace Esports,https://www.vlr.gg/player/4712/heybay?timespan=all,https://www.vlr.gg/player/4712/heybay?timespan=all/?timespan=90d
Biank,Trace Esports,https://www.vlr.gg/player/3021/biank?timespan=all,https://www.vlr.gg/player/3021/biank?timespan=all/?timespan=90d
Yiyee,Trace Esports,https://www.vlr.gg/player/15249/destroyer?timespan=all,https://www.vlr.gg/player/15249/destroyer?timespan=all/?timespan=90d
BcJ,Moist x Shopify,https://www.vlr.gg/player/864/bcj?timespan=all,https://www.vlr.gg/player/864/bcj?timespan=all/?timespan=90d
Pa1nt,Moist x Shopify,https://www.vlr.gg/player/23407/pa1nt?timespan=all,https://www.vlr.gg/player/23407/pa1nt?timespan=all/?timespan=90d
Spaz,Moist x Shopify,https://www.vlr.gg/player/8422/spaz?timespan=all,https://www.vlr.gg/player/8422/spaz?timespan=all/?timespan=90d
Paincakes,Moist x Shopify,https://www.vlr.gg/player/2164/paincakes?timespan=all,https://www.vlr.gg/player/2164/paincakes?timespan=all/?timespan=90d
brawk,Moist x Shopify,https://www.vlr.gg/player/2172/brawk?timespan=all,https://www.vlr.gg/player/2172/brawk?timespan=all/?timespan=90d
Connor Larkin,Moist x Shopify,https://www.vlr.gg/player/28778/connor-larkin?timespan=all,https://www.vlr.gg/player/28778/connor-larkin?timespan=all/?timespan=90d
FIN,Moist x Shopify,https://www.vlr.gg/player/8754/vapen?timespan=all,https://www.vlr.gg/player/8754/vapen?timespan=all/?timespan=90d
B3ar,Bilibili Gaming,https://www.vlr.gg/player/25329/b3ar?timespan=all,https://www.vlr.gg/player/25329/b3ar?timespan=all/?timespan=90d
whzy,Bilibili Gaming,https://www.vlr.gg/player/4885/whzy?timespan=all,https://www.vlr.gg/player/4885/whzy?timespan=all/?timespan=90d
Levius,Bilibili Gaming,https://www.vlr.gg/player/40845/levius?timespan=all,https://www.vlr.gg/player/40845/levius?timespan=all/?timespan=90d
rushia,Bilibili Gaming,https://www.vlr.gg/player/48878/rushia?timespan=all,https://www.vlr.gg/player/48878/rushia?timespan=all/?timespan=90d
nephh,Bilibili Gaming,https://www.vlr.gg/player/10698/nephh?timespan=all,https://www.vlr.gg/player/10698/nephh?timespan=all/?timespan=90d
Knight,Bilibili Gaming,https://www.vlr.gg/player/4774/knight?timespan=all,https://www.vlr.gg/player/4774/knight?timespan=all/?timespan=90d
Robot,Bilibili Gaming,https://www.vlr.gg/player/39530/robot?timespan=all,https://www.vlr.gg/player/39530/robot?timespan=all/?timespan=90d
Jexen,Bilibili Gaming,https://www.vlr.gg/player/980/bail?timespan=all,https://www.vlr.gg/player/980/bail?timespan=all/?timespan=90d
seven,TSM,https://www.vlr.gg/player/8376/seven?timespan=all,https://www.vlr.gg/player/8376/seven?timespan=all/?timespan=90d
gMd,TSM,https://www.vlr.gg/player/64/gmd?timespan=all,https://www.vlr.gg/player/64/gmd?timespan=all/?timespan=90d
sym,TSM,https://www.vlr.gg/player/3702/sym?timespan=all,https://www.vlr.gg/player/3702/sym?timespan=all/?timespan=90d
tdawgg,TSM,https://www.vlr.gg/player/3007/tdawgg?timespan=all,https://www.vlr.gg/player/3007/tdawgg?timespan=all/?timespan=90d
XXiF,TSM,https://www.vlr.gg/player/1023/xxif?timespan=all,https://www.vlr.gg/player/1023/xxif?timespan=all/?timespan=90d
Recoil,TSM,https://www.vlr.gg/player/39602/recoil?timespan=all,https://www.vlr.gg/player/39602/recoil?timespan=all/?timespan=90d
ALEKSANDAR,QoR,https://www.vlr.gg/player/1120/aleksandar?timespan=all,https://www.vlr.gg/player/1120/aleksandar?timespan=all/?timespan=90d
nerve,QoR,https://www.vlr.gg/player/754/nerve?timespan=all,https://www.vlr.gg/player/754/nerve?timespan=all/?timespan=90d
snarly,QoR,https://www.vlr.gg/player/21878/snarly?timespan=all,https://www.vlr.gg/player/21878/snarly?timespan=all/?timespan=90d
Boni,QoR,https://www.vlr.gg/player/24553/boni?timespan=all,https://www.vlr.gg/player/24553/boni?timespan=all/?timespan=90d
Logan,QoR,https://www.vlr.gg/player/5093/logan?timespan=all,https://www.vlr.gg/player/5093/logan?timespan=all/?timespan=90d
SoupBerries,QoR,https://www.vlr.gg/player/25331/soupberries?timespan=all,https://www.vlr.gg/player/25331/soupberries?timespan=all/?timespan=90d
slow,QoR,https://www.vlr.gg/player/11377/ocean?timespan=all,https://www.vlr.gg/player/11377/ocean?timespan=all/?timespan=90d
SpYzera,The Ultimates,https://www.vlr.gg/player/1618/spyzera?timespan=all,https://www.vlr.gg/player/1618/spyzera?timespan=all/?timespan=90d
Fighter,The Ultimates,https://www.vlr.gg/player/37847/fighter?timespan=all,https://www.vlr.gg/player/37847/fighter?timespan=all/?timespan=90d
KHaaLiD,The Ultimates,https://www.vlr.gg/player/5599/khaalid?timespan=all,https://www.vlr.gg/player/5599/khaalid?timespan=all/?timespan=90d
Moh,The Ultimates,https://www.vlr.gg/player/5600/moh?timespan=all,https://www.vlr.gg/player/5600/moh?timespan=all/?timespan=90d
Sand,The Ultimates,https://www.vlr.gg/player/6503/sand?timespan=all,https://www.vlr.gg/player/6503/sand?timespan=all/?timespan=90d
Flowy,Qadsiah Esports,https://www.vlr.gg/player/36069/flowy?timespan=all,https://www.vlr.gg/player/36069/flowy?timespan=all/?timespan=90d
Avvix,Qadsiah Esports,https://www.vlr.gg/player/33464/avvix?timespan=all,https://www.vlr.gg/player/33464/avvix?timespan=all/?timespan=90d
str1keR,Qadsiah Esports,https://www.vlr.gg/player/7286/str1ker?timespan=all,https://www.vlr.gg/player/7286/str1ker?timespan=all/?timespan=90d
Elixllo,Qadsiah Esports,https://www.vlr.gg/player/27316/elixllo?timespan=all,https://www.vlr.gg/player/27316/elixllo?timespan=all/?timespan=90d
rezy,Qadsiah Esports,https://www.vlr.gg/player/11914/rezy?timespan=all,https://www.vlr.gg/player/11914/rezy?timespan=all/?timespan=90d
Winteryrook,Qadsiah Esports,https://www.vlr.gg/player/3807/winteryrook?timespan=all,https://www.vlr.gg/player/3807/winteryrook?timespan=all/?timespan=90d
Whimp,MiBH,https://www.vlr.gg/player/5536/whimp?timespan=all,https://www.vlr.gg/player/5536/whimp?timespan=all/?timespan=90d
