Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
Qlove,Blue Eyes White Dragon,0.876,181.673,0.913,117.426,0.684,0.638,0.144,0.064,0.09,113.0,https://www.vlr.gg/player/48694/qlove?timespan=all,0.82,0.82
RND,TotalePRO,1.0,219.525,1.075,138.509,0.691,0.771,0.176,0.151,0.129,5981.0,https://www.vlr.gg/player/1999/rnd?timespan=all,0.965,0.927
失败总是贯彻人生始终,HKUF,0.753,155.805,0.755,92.115,0.562,0.584,0.121,0.099,0.15,41.0,https://www.vlr.gg/player/49937/?timespan=all,0.82,0.82
PuFF,HKUF,0.94,223.5,0.82,152.4,0.56,0.66,0.27,0.2,0.29,41.0,https://www.vlr.gg/player/49938/puff?timespan=all,0.82,0.82
SGe,HKUF,1.126,233.537,1.135,159.354,0.683,0.875,0.122,0.071,0.026,41.0,https://www.vlr.gg/player/49939/sge?timespan=all,0.82,0.82
KaiSeN,HKUF,0.72,144.5,0.61,99.6,0.66,0.49,0.27,0.05,0.07,41.0,https://www.vlr.gg/player/49940/kaisen?timespan=all,0.82,0.82
R4t,HKUF,0.82,152.098,0.866,105.041,0.66,0.538,0.289,0.022,0.026,41.0,https://www.vlr.gg/player/49941/r4t?timespan=all,0.82,0.82
Zoestol,Blue Otter,1.069,195.97,1.074,125.057,0.757,0.689,0.4,0.076,0.067,13249.0,https://www.vlr.gg/player/11696/zoestol?timespan=all,0.928,0.93
Bob,Blue Otter,1.163,215.86,1.218,141.959,0.764,0.756,0.357,0.097,0.074,16361.0,https://www.vlr.gg/player/873/bob?timespan=all,0.923,0.93
zeek,Blue Otter,1.044,201.217,1.029,128.318,0.746,0.703,0.439,0.078,0.084,9922.0,https://www.vlr.gg/player/26848/zeek?timespan=all,0.903,0.93
Shondex,Blue Otter,1.143,221.613,1.242,146.796,0.747,0.808,0.229,0.102,0.074,9583.0,https://www.vlr.gg/player/25902/shondex?timespan=all,0.903,0.93
welyy,Blue Otter,1.154,206.575,1.136,138.579,0.752,0.705,0.391,0.071,0.057,14048.0,https://www.vlr.gg/player/16671/welyy?timespan=all,0.857,0.936
Zeke,Blue Otter,0.632,128.341,0.571,84.545,0.643,0.428,0.327,0.037,0.082,2003.0,https://www.vlr.gg/player/31575/zeke?timespan=all,0.87,0.93
